gene_name,t_stat,fold_change,p_value,p_adjusted
Os02g0786400,3.651506681,0.575626321,0.000444399,0.002073224
Os07g0669200,4.087729233,0.317269556,9.68E-05,0.000562727
Os09g0466300,-3.207971042,-0.201761628,0.001871426,0.007005068
Os01g0243200,-4.677331695,-0.386695296,1.06E-05,8.29E-05
Os11g0257200,2.922529945,0.160276956,0.004423259,0.014499824
Os07g0490400,3.185100095,0.23908351,0.002008842,0.007429231
Os11g0168500,6.650025367,0.512932875,2.47E-09,7.21E-08
Os01g0728800,-1.008464191,-0.059529598,0.316027071,0.454590444
Os07g0587400,-1.02953212,-0.104881342,0.306082233,0.443683138
Os07g0654400,3.460831782,0.872095666,0.000836597,0.003541957
Os07g0100300,4.626911436,0.242393763,1.28E-05,9.79E-05
Os11g0507400,-4.244401458,-0.219727801,5.46E-05,0.000343834
Os04g0485100,-2.637538046,-0.193841173,0.009890644,0.028406932
Os05g0531500,2.666087076,0.422225951,0.009147554,0.026563217
Os07g0435100,0.805764778,0.068151163,0.422574456,0.561612499
Os06g0220800,0.241437559,0.019240486,0.8097839,0.87613836
Os05g0438500,2.035756029,0.456296512,0.044815741,0.098250293
Os01g0235100,1.09408507,0.138963002,0.27693633,0.411541872
Os10g0369500,-0.670383093,-0.044417019,0.504388527,0.636874161
Os02g0462200,-0.987976419,-0.045885307,0.325902815,0.465022671
Os04g0284100,-4.691617295,-0.176679175,9.99E-06,7.92E-05
Os08g0411500,-0.830406116,-0.358514799,0.408581249,0.548410105
Os03g0243100,-3.61832917,-0.323895613,0.00049687,0.002283993
Os05g0473900,0.524723614,0.286754228,0.601109302,0.719162626
Os03g0719300,-4.614312783,-0.228587738,1.35E-05,0.000101999
Os03g0292600,1.545944924,0.111390063,0.125746309,0.22445823
Os04g0244800,-2.877893243,-0.56405074,0.005035694,0.016178337
Os04g0685400,3.51244199,0.398389535,0.000706433,0.003073927
Os03g0398000,1.754923355,0.261840909,0.082791365,0.161250425
Os04g0330900,0.555281172,0.046671952,0.580126755,0.702478343
Os10g0454000,-0.103930499,-0.00785148,0.917463615,0.948498325
Os07g0101500,1.938269982,0.116594609,0.055831557,0.117592055
Os02g0620500,-0.87194025,-0.13255444,0.385639918,0.525741172
Os04g0686500,-1.118888026,-0.086230973,0.266266388,0.399599673
Os07g0171100,6.288771145,1.089660016,1.24E-08,2.79E-07
Os01g0691100,-3.276419517,-0.517145613,0.001510842,0.005850697
Os05g0529200,-0.313714129,-0.013623679,0.754488794,0.837002705
Os01g0501000,1.360675975,0.063013742,0.177129272,0.293717283
Os02g0707500,-0.623516604,-0.050108351,0.534575719,0.66338379
osa-miR445a,0.588622702,0.015416358,0.557638895,0.683569795
Os04g0372800,1.213343574,0.102312896,0.228281046,0.356456552
Os10g0329300,0.563649186,0.040054087,0.574442294,0.697871762
Os11g0481400,-1.944498364,-0.23407241,0.055064783,0.116270651
Os12g0595600,0.165702914,0.014936575,0.868775045,0.916503546
Os03g0855700,-1.064951203,-0.135169662,0.289843472,0.426398701
Os06g0556100,-0.249007703,-0.011998414,0.803941485,0.872446466
Os06g0507300,-2.186126676,-0.204412791,0.031490485,0.074106633
Os01g0829400,-0.933441713,-0.067492072,0.353174291,0.492731037
Os06g0518900,3.324326075,0.445545983,0.00129839,0.005134543
Os03g0853600,-1.735509099,-0.146958774,0.086189844,0.166327573
Os09g0440600,-0.404818363,-0.027900634,0.686604226,0.786666643
Os07g0129800,-0.079329992,-0.00405814,0.936952262,0.960766479
Os02g0788400,0.283999001,0.011926533,0.777085663,0.853755707
Os09g0382200,1.729078542,0.119047569,0.087340483,0.167999374
Os02g0535700,4.193018082,0.211610994,6.60E-05,0.000405377
Os02g0831200,5.972453466,0.466660941,4.97E-08,8.79E-07
Os06g0679500,-1.023782203,-0.069782241,0.308775234,0.446559573
Os09g0247600,5.603573154,0.951461945,2.42E-07,3.38E-06
Os04g0541700,0.032485509,0.005903806,0.974159252,0.983942476
Os06g0475000,-4.982823791,-0.318112579,3.15E-06,3.00E-05
